Afghanistan,Hamid Karzai International Airport (Kabul),KBL
Albania,Tirana International Airport Nënë Tereza,TIA
Algeria,Houari Boumediene Airport (Algiers),ALG
Andorra,Andorra–La Seu d'Urgell Airport,LEU
Angola,Quatro de Fevereiro Airport (Luanda),LAD
Antigua and Barbuda,V.C. Bird International Airport (St. John's),ANU
Argentina,Ministro Pistarini International Airport (Buenos Aires),EZE
Argentina,Aeroparque Jorge Newbery (Buenos Aires),AEP
Armenia,Zvartnots International Airport (Yerevan),EVN
Australia,Sydney Kingsford-Smith Airport,SYD
Australia,Melbourne Airport,MEL
Australia,Brisbane Airport,BNE
Australia,Perth Airport,PER
Austria,Vienna International Airport,VIE
Azerbaijan,Heydar Aliyev International Airport (Baku),GYD
Bahamas,Lynden Pindling International Airport (Nassau),NAS
Bahrain,Bahrain International Airport,BAH
Bangladesh,Shahjalal International Airport (Dhaka),DAC
Barbados,Grantley Adams International Airport (Bridgetown),BGI
Belarus,Minsk National Airport,MSQ
Belgium,Brussels Airport,BRU
Belize,Philip S. W. Goldson International Airport (Belize City),BZE
Benin,Cadjehoun Airport (Cotonou),COO
Bhutan,Paro International Airport,PBH
Bolivia,El Alto International Airport (La Paz),LPB
Bolivia,Viru Viru International Airport (Santa Cruz),VVI
Bosnia and Herzegovina,Sarajevo International Airport,SJJ
Botswana,Sir Seretse Khama International Airport (Gaborone),GBE
Brazil,São Paulo–Guarulhos International Airport,GRU
Brazil,Rio de Janeiro–Galeão International Airport,GIG
Brazil,Brasília International Airport,BSB
Brunei,Brunei International Airport,BWN
Bulgaria,Sofia Airport,SOF
Burkina Faso,Ouagadougou Airport,OUA
Burundi,Bujumbura International Airport,BJM
Cambodia,Phnom Penh International Airport,PNH
Cambodia,Siem Reap International Airport,REP
Cameroon,Douala International Airport,DLA
Cameroon,Yaoundé Nsimalen International Airport,NSI
Cameroon,Garoua International Airport,GOU
Canada,Toronto Pearson International Airport,YYZ
Canada,Vancouver International Airport,YVR
Canada,Montréal–Pierre Elliott Trudeau International Airport,YUL
Cape Verde,Amílcar Cabral International Airport (Sal),SID
Cape Verde,Nelson Mandela International Airport (Praia),RAI
