The ancient city of Balkh,Spring
The Buddhas of Bamiyan,Summer
The Blue Mosque in Mazar-e-Sharif,Summer
The Gardens of Babur in Kabul,Spring
Band-e-Amir National Park,Summer
Minaret of Jam,Summer
Istalif pottery village,Spring
Paghman Valley,Spring
Herat Citadel,Summer
Jalalabad's Museum of Archaeology,Spring
Albanian Riviera,Summer
Butrint National Park,Summer
Berat Castle,Spring
Shkoder Castle,Summer
Blue Eye (Syri i Kalter),Summer
Kruja Castle,Spring
Et'hem Bey Mosque,Spring
Gjirokastra Castle,Spring
Skanderbeg Square,Spring
Llogara Pass,Spring
Casbah of Algiers,Spring
Tassili n'Ajjer National Park,Spring
Djémila,Spring
Tipasa,Summer
Constantine,Spring
Oran,Summer
Al Qal'a of Beni Hammad,Spring
Ghardaïa,Spring
Timgad,Spring
Timimoun,Summer
Sant Joan de Caselles Church,Summer
Vallnord Ski Resort,Winter
Caldea Spa,Winter
Grandvalira Ski Resort,Winter
Casa de la Vall,Summer
Mirador del Roc del Quer,Summer
Meritxell Sanctuary,Summer
Palau de Gel d'Andorra,Winter
Lake Engolasters,Summer
Santuario de Nuestra Senora de Meritxell,Summer
Kalandula Falls,Summer
Fortaleza de São Miguel,Summer
Ilha do Mussulo,Summer
Iona National Park,Summer
Cangandala National Park,Summer
Kissama National Park,Summer
Miradouro da Lua,Summer
Namibe Desert,Summer
Igreja de Nossa Senhora do Populo,Summer
Sangano Beach,Summer
Nelson's Dockyard National Park,Summer
Shirley Heights Lookout,Summer
Devil's Bridge,Summer
Darkwood Beach,Summer
Antigua Rainforest Canopy Tour,Summer
Half Moon Bay,Summer
Betty's Hope,Summer
Great Bird Island,Summer
Antigua and Barbuda Museum,Summer
St. John's Cathedral,Summer
Iguazu Falls,Summer
Buenos Aires,Spring
Perito Moreno Glacier,Summer
Bariloche,Spring
Mendoza Wine Region,Summer
Salta and Jujuy Provinces,Summer
Colonia del Sacramento (Uruguay),Spring
Tierra del Fuego National Park,Summer
Ushuaia,Spring
Valdes Peninsula Wildlife Reserve,Summer
Garni Temple,Summer
Geghard Monastery,Summer
Tatev Monastery,Summer
Lake Sevan,Summer
Dilijan National Park,Summer
Khor Virap Monastery,Summer
The Cascade Complex,Spring
Noravank Monastery,Summer
Zvartnots Cathedral,Summer
Erebuni Fortress Museum,Spring
Sydney Opera House,Spring
Great Barrier Reef,Summer
Uluru (Ayers Rock),Summer
Bondi Beach,Summer
Kangaroo Island,Summer
Blue Mountains National Park,Spring
Phillip Island,Spring
Daintree Rainforest,Summer
The Great Ocean Road,Spring
Kakadu National Park,Summer
Schönbrunn Palace,Spring
Schönbrunn Palace,Spring
Belvedere Palace,Summer
St. Stephen's Cathedral,Spring
Salzburg Old Town,Spring
Hohensalzburg Fortress,Summer
Hallstatt,Summer
Innsbruck,Spring
Grossglockner High Alpine Road,Summer
Vienna State Opera,Spring
Lake Wolfgang,Summer
Brussels Grand Place,Spring
Atomium,Summer
Manneken Pis,Spring
Royal Palace of Brussels,Spring
Mini-Europe,Summer
Cinquantenaire Park,Summer
Bruges Old Town,Spring
Antwerp Central Station,Spring
Ghent's Historic Centre,Spring
The Belfry of Bruges,Summer
Belgium Chocolate Shops,Spring
Statue of Liberty (New York),Spring
Times Square,Summer
Central Park (New York),Spring
Empire State Building,Spring
Brooklyn Bridge,Spring
The Metropolitan Museum of Art,Spring
Niagara Falls,Summer
The White House,Spring
Grand Canyon National Park,Summer
Yellowstone National Park,Summer
