Hamid Karzai International Airport (Kabul),KBL
Tirana International Airport Nënë Tereza,TIA
Houari Boumediene Airport (Algiers),ALG
Andorra–La Seu d'Urgell Airport,LEU
Quatro de Fevereiro Airport (Luanda),LAD
V.C. Bird International Airport (St. John's),ANU
Ministro Pistarini International Airport (Buenos Aires),EZE
Aeroparque Jorge Newbery (Buenos Aires),AEP
Zvartnots International Airport (Yerevan),EVN
Sydney Kingsford-Smith Airport,SYD
Melbourne Airport,MEL
Brisbane Airport,BNE
Perth Airport,PER
Vienna International Airport,VIE
Heydar Aliyev International Airport (Baku),GYD
Lynden Pindling International Airport (Nassau),NAS
Bahrain International Airport,BAH
Shahjalal International Airport (Dhaka),DAC
Grantley Adams International Airport (Bridgetown),BGI
Minsk National Airport,MSQ
Brussels Airport,BRU
Philip S. W. Goldson International Airport (Belize City),BZE
Cadjehoun Airport (Cotonou),COO
Paro International Airport,PBH
El Alto International Airport (La Paz),LPB
Viru Viru International Airport (Santa Cruz),VVI
Sarajevo International Airport,SJJ
Sir Seretse Khama International Airport (Gaborone),GBE
São Paulo–Guarulhos International Airport,GRU
Rio de Janeiro–Galeão International Airport,GIG
Brasília International Airport,BSB
Brunei International Airport,BWN
Sofia Airport,SOF
Ouagadougou Airport,OUA
Bujumbura International Airport,BJM
Phnom Penh International Airport,PNH
Siem Reap International Airport,REP
Douala International Airport,DLA
Yaoundé Nsimalen International Airport,NSI
Garoua International Airport,GOU
Toronto Pearson International Airport,YYZ
Vancouver International Airport,YVR
Montréal–Pierre Elliott Trudeau International Airport,YUL
Amílcar Cabral International Airport (Sal),SID
Nelson Mandela International Airport (Praia),RAI
N'Djamena International Airport,NDJ
Comodoro Arturo Merino Benítez International Airport (Santiago),SCL
Mataveri International Airport (Easter Island),IPC
Beijing Capital International Airport,PEK
Shanghai Pudong International Airport,PVG
Guangzhou Baiyun International Airport,CAN
Hong Kong International Airport,HKG
El Dorado International Airport (Bogotá),BOG
Rafael Núñez International Airport (Cartagena),CTG
José María Córdova International Airport (Medellín),MDE
Prince Said Ibrahim International Airport (Moroni),HAH
Maya-Maya Airport (Brazzaville),BZV
Pointe Noire Airport,PNR
N'djili Airport (Kinshasa),FIH
Lubumbashi International Airport,FBM
Juan Santamaría International Airport (San José),SJO
Daniel Oduber Quirós International Airport (Liberia),LIR
Zagreb Airport,ZAG
Dubrovnik Airport,DBV
Split Airport,SPU
Henri Coandă International Airport (Bucharest),OTP
Timișoara Traian Vuia International Airport,TSR
Sheremetyevo International Airport (Moscow),SVO
Domodedovo International Airport (Moscow),DME
Pulkovo Airport (Saint Petersburg),LED
Kigali International Airport,KGL
Robert L. Bradshaw International Airport (Basseterre),SKB
Hewanorra International Airport (Vieux-Fort),UVF
George F. L. Charles Airport (Castries),SLU
Argyle International Airport (St. Vincent),SVD
Faleolo International Airport,APW
Federico Fellini International Airport (Rimini, Italy),RMI
São Tomé International Airport,TMS
King Abdulaziz International Airport (Jeddah),JED
King Khalid International Airport (Riyadh),RUH
Blaise Diagne International Airport (Dakar),DSS
Belgrade Nikola Tesla Airport,BEG
Seychelles International Airport (Mahé),SEZ
Freetown-Lungi International Airport,FNA
Singapore Changi Airport,SIN
Bratislava Airport,BTS
Ljubljana Jože Pučnik Airport,LJU
Honiara International Airport,HIR
Aden Adde International Airport (Mogadishu),MGQ
O. R. Tambo International Airport (Johannesburg),JNB
Cape Town International Airport,CPT
King Shaka International Airport (Durban),DUR
Incheon International Airport (Seoul),ICN
Adolfo Suárez Madrid–Barajas Airport,MAD
Barcelona–El Prat Airport,BCN
Palma de Mallorca Airport,PMI
Bandaranaike International Airport (Colombo),CMB
Khartoum International Airport,KRT
Johan Adolf Pengel International Airport (Paramaribo),PBM
Eugene F. Correira International Airport (Georgetown),OGL
Stockholm Arlanda Airport,ARN
Zurich Airport,ZRH
Geneva Airport,GVA
Damascus International Airport,DAM
Taiwan Taoyuan International Airport (Taipei),TPE
Dushanbe International Airport,DYU
Julius Nyerere International Airport (Dar es Salaam),DAR
Kilimanjaro International Airport (Kilimanjaro),JRO
Suvarnabhumi Airport (Bangkok),BKK
Don Mueang International Airport (Bangkok),DMK
Phuket International Airport,HKT
Lomé-Tokoin Airport,LFW
Fuaʻamotu International Airport (Nukuʻalofa),TBU
Piarco International Airport (Port of Spain),POS
Tunis-Carthage International Airport,TUN
Esenboğa International Airport (Ankara),ESB
Ashgabat International Airport,ASB
Lynden Pindling International Airport (Nassau),NAS
Bahrain International Airport,BAH
Zvartnots International Airport (Yerevan),EVN
Sir Grantley Adams International Airport (Bridgetown),BGI
Minsk National Airport,MSQ
Zanderij International Airport (Paramaribo),ORG
Brussels Airport,BRU
Princess Juliana International Airport (Philipsburg),SXM
Mihail Kogălniceanu International Airport (Constanța),CND
Piarco International Airport (Port of Spain),POS
Chhatrapati Shivaji Maharaj International Airport (Mumbai),BOM
Indira Gandhi International Airport (Delhi),DEL
Kempegowda International Airport (Bengaluru),BLR
Cochin International Airport,COK
Dabolim Airport (Goa),GOI
Rajiv Gandhi International Airport (Hyderabad),HYD
Netaji Subhash Chandra Bose International Airport (Kolkata),CCU
Chennai International Airport,MAA
Trivandrum International Airport,TRV
A. P. J. Abdul Kalam International Airport (Tiruchirappalli),TRZ
Malé International Airport,MLE
Ndjili Airport (Kinshasa),FIH
Punta Cana International Airport,PUJ
Las Américas International Airport (Santo Domingo),SDQ
Cibao International Airport (Santiago de los Caballeros),STI
El Catey International Airport (Samaná),AZS
Las Terrenas Arroyo Barril Airport (Las Terrenas),EPS
Los Llanos Air Base (Guasdualito),SVVL
Mariscal Sucre International Airport (Quito),UIO
José Joaquín de Olmedo International Airport (Guayaquil),GYE
Cotopaxi International Airport (Latacunga),LTX
Gualaquiza Airport,GYE
Rafael Núñez International Airport (Cartagena),CTG
El Dorado International Airport (Bogotá),BOG
Matecaña International Airport (Pereira),PEI
Palonegro International Airport (Bucaramanga),BGA
Gustavo Rojas Pinilla International Airport (San Andrés),ADZ
