national park,yes
museum,no
church,no
town,yes
square,yes
camp,yes
lake,yes
mall,no
house,no
island,yes
beach,yes
hiking trail,yes
waterfall,yes
zoo,no
theme park,no
historic site,no
botanical garden,no
cruise,yes
vineyard,no
castle,no
castle,no
ski resort,yes
hot springs,yes
observatory,no
scenic drive,yes
food market,no
river rafting,yes
concert,no
farm visit,no
cultural festival,no
night market,no
cruise,yes
camping,yes
surfing,yes
kayaking,yes
parasailing,yes
snowboarding,yes
sailing,yes
rafting,yes
fishing,yes
snorkeling,yes
swimming,yes
picnic,yes
ice skating,yes
kiteboarding,yes
dog sledding,yes
whale watching,yes
hot air ballooning,yes
rock climbing,yes
cycling,yes
golfing,yes
horseback riding,yes
bird watching,yes
kayak fishing,yes
outdoor concerts,yes
gardens visit,yes
amusement parks,yes
